quote,author,tags,likes
“I love deadlines. I love the whooshing noise they make as they go by.”,"Douglas Adams,","['deadlines', 'humor', 'humour', 'work', 'writing']",31408
"“If you judge people, you have no time to love them.”",Mother Teresa,['attributed-no-source'],31148
"“There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”","Sarah Dessen,",['love'],30882
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"['attributed-no-source', 'simplicity', 'understand']",30128
"“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”",Friedrich Nietzsche,"['lies', 'lying', 'trust']",29925
“Love is that condition in which the happiness of another person is essential to your own.”,"Robert A. Heinlein,","['essential', 'happiness', 'love']",29799
“There is no greater agony than bearing an untold story inside you.”,"Maya Angelou,","['1970', 'inspirational', 'stories', 'writing']",29708
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"['humor', 'religion']",29404
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"['books', 'library']",29013
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","Haruki Murakami,","['books', 'thought']",28737
“Everything you can imagine is real.”,Pablo Picasso,"['art', 'imagination', 'inspirational', 'life']",28653
"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”",Robert A. Heinlein,"['cats', 'humor', 'women']",28211
"“We don't see things as they are, we see them as we are.”",Anaïs Nin,[],27701
“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss,"['attributed-no-source', 'life']",27487
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,['love'],27464
“Never trust anyone who has not brought a book with them.”,"Lemony Snicket,","['books', 'reading']",26903
"“You love me. Real or not real?""I tell him, ""Real.”","Suzanne Collins,","['katniss', 'love', 'peeta', 'suzanne-collins', 'the-hunger-games']",26848
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"['books', 'inspirational', 'reading', 'tea']",26755
“We read to know we're not alone.”,"William Nicholson,","['misattributed-to-c-s-lewis', 'reading']",26738
"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”","John Green,","['books', 'power-of-words', 'reading']",26442
